 Model:        tpxo10_atlas
 Elevations (m)
   Lat     Lon       m2_amp  m2_ph   s2_amp  s2_ph   n2_amp  n2_ph   k2_amp  k2_ph   k1_amp  k1_ph   o1_amp  o1_ph   p1_amp  p1_ph   q1_amp  q1_ph   
   -5.948   107.126    0.092    141.6    0.040     51.1    0.018     96.3    0.016     34.7    0.246     25.0    0.127     14.1    0.072     17.7    0.033      1.7
   -5.912   107.127    0.090    141.7    0.040     53.0    0.017     96.6    0.015     36.6    0.247     25.2    0.127     14.2    0.073     18.3    0.032      1.8
   -5.871   107.126    0.089    141.4    0.040     53.9    0.017     96.8    0.015     37.5    0.247     25.3    0.127     14.2    0.073     18.6    0.033      1.8
   -5.804   107.126    0.090    141.3    0.040     54.8    0.017     96.7    0.015     37.3    0.247     25.3    0.127     14.1    0.073     18.6    0.033      1.7
   -5.701   107.127    0.092    141.3    0.038     55.2    0.018     96.4    0.014     36.7    0.248     25.2    0.129     13.5    0.073     18.6    0.033      1.7
   -5.600   107.125    0.094    142.2    0.037     55.5    0.018     99.6    0.014     37.4    0.249     25.1    0.129     13.1    0.073     18.6    0.033      1.7
   -5.496   107.125    0.096    143.4    0.034     56.8    0.018    100.6    0.013     39.6    0.251     25.4    0.131     12.8    0.073     18.5    0.033      1.7
   -5.388   107.125    0.099    145.3    0.032     60.8    0.018    104.3    0.011     40.2    0.256     25.8    0.135     12.4    0.074     19.1    0.034     -0.0
