X,Y,X,Y
106.351244949078,-5.39034439530268,649712.959999999962747,9404021.500000000000000
106.35193724865,-5.52829554246757,649755.430000000051223,9388768.000000000000000
106.352405611938,-5.6642568630842,649772.709999999962747,9373734.500000000000000
106.352569092334,-5.80042626903333,649755.310000000055879,9358678.000000000000000
106.35268110385,-5.90165600754663,649740.770000000018626,9347484.800000000745058
106.353707596892,-5.94749411472008,649842.060000000055879,9342416.099999999627471
