Y,X,X,Y
-5.94842821260516,107.126482915675,735411.930000000051223,9342043.400000000372529
-5.91246599773254,107.126554767018,735435.150000000023283,9346021.400000000372529
-5.87129202411239,107.126398040131,735435.150000000023283,9350576.000000000000000
-5.80362291988588,107.125984284084,735417.579999999958090,9358061.500000000000000
-5.70061371348473,107.126714091794,735540.839999999967404,9369455.699999999254942
-5.60046032344253,107.125393896267,735435.040000000037253,9380534.800000000745058
-5.49609912151188,107.125081631413,735441.849999999976717,9392078.900000000372529
-5.38811630689238,107.124939061532,735468.079999999958090,9404023.500000000000000
