loc_id,XP,YP,Tp_s,Tm2_0_TM02_s,Tm_1_0_TMM10_s
1,702900.0,9323630.0,5.662514156285391,3.8064319471473786,4.813841073510104
2,702900.0,9323680.0,5.662514156285391,3.7781900018049757,4.794640647964207
3,702900.0,9323730.0,5.662514156285391,3.7564286981867268,4.782215579915309
4,702900.0,9323780.0,5.662514156285391,3.742124466015166,4.775735861571712
5,702900.0,9323830.0,5.662514156285391,3.730445292724824,4.771694467539875
6,702900.0,9323880.0,5.662514156285391,3.722755045369292,4.770781901624371
7,702900.0,9323930.0,5.662514156285391,3.715469188904941,4.77095152623463
8,702900.0,9323980.0,5.662514156285391,3.705976157744701,4.768721333889749
9,702900.0,9324030.0,5.662514156285391,3.692433977692364,4.76574314827216
10,702923.0,9324070.0,5.662514156285391,3.680596926332069,4.75841194913353
11,702962.0,9324100.0,5.662514156285391,3.6837987120310727,4.757016895522641
12,703012.0,9324100.0,5.662514156285391,3.6941241538778176,4.76128453334409
13,703062.0,9324110.0,5.662514156285391,3.698128194194567,4.763626704190451
14,703112.0,9324110.0,5.662514156285391,3.7108267059885973,4.769514093940643
15,703161.0,9324120.0,5.662514156285391,3.72657213573077,4.786737325166249
16,703211.0,9324120.0,5.662514156285391,3.75981188933627,4.818907830045486
17,703261.0,9324130.0,5.662514156285391,3.765955996119821,4.826457856683295
18,703311.0,9324130.0,5.662514156285391,3.786263847595421,4.838493288592809
19,703360.0,9324140.0,5.662514156285391,3.79185397546463,4.84443761979914
20,703400.0,9324110.0,5.662514156285391,3.8256412315510664,4.851297921339618
21,703419.0,9324060.0,5.662514156285391,4.063393152187874,5.054448121268005
22,703427.0,9324010.0,5.662514156285391,4.129461575659119,5.1767253216891955
23,703436.0,9323960.0,5.773672055427252,4.182304971294355,5.279042858839593
24,703444.0,9323920.0,5.773672055427252,4.230983569091971,5.358973712299089
25,703453.0,9323870.0,5.885815185403178,4.221447657362118,5.396800577352747
26,703461.0,9323820.0,5.885815185403178,4.238408398939652,5.445943393754496
27,703470.0,9323770.0,6.87757909215956,4.2628364747947405,5.494468464742696
28,703478.0,9323720.0,6.87757909215956,4.215579070538958,5.497071866868523
29,703487.0,9323670.0,6.87757909215956,4.192698672409304,5.5098487591620025
30,703495.0,9323620.0,7.017543859649123,4.180534246784151,5.53286370579165
31,703504.0,9323570.0,7.017543859649123,4.119111711107074,5.525409081390583
32,703512.0,9323520.0,7.017543859649123,4.0680645729331975,5.534100963716671
33,703521.0,9323470.0,7.017543859649123,3.9762807161846516,5.5340110777691685
34,703525.0,9323420.0,7.017543859649123,3.8468428024305683,5.518712466247531
35,703505.0,9323380.0,7.017543859649123,3.6569847907772117,5.472448727951746
36,703465.0,9323350.0,7.153075822603719,2.070623804399853,4.1754938881756845
37,703426.0,9323320.0,7.153075822603719,1.436351624775812,2.433989713877839
38,702416.0,9323140.0,5.662514156285391,4.240200207368903,5.316438642463755
39,702386.0,9323170.0,5.773672055427252,4.398368628590585,5.411806466129232
40,702380.0,9323220.0,5.773672055427252,4.367864816206065,5.348028314316658
41,702374.0,9323270.0,5.662514156285391,4.195082085521233,5.206749246285902
42,702368.0,9323320.0,5.662514156285391,4.155015944469521,5.175734188356181
43,702362.0,9323370.0,5.662514156285391,4.204022177686543,5.219491127205351
44,702356.0,9323420.0,5.662514156285391,4.281372180616766,5.251784540334224
45,702371.0,9323470.0,5.662514156285391,4.30440914851655,5.204779072166323
46,702362.0,9323520.0,5.662514156285391,4.295605895024907,5.191236971541771
47,702362.0,9323570.0,5.662514156285391,4.156635356652212,5.11740904433796
48,702397.0,9323600.0,5.662514156285391,3.9273980006402827,4.974407254525703
49,702440.0,9323610.0,5.662514156285391,3.8959891020024875,4.947385556748421
50,702490.0,9323610.0,5.662514156285391,3.8618649630622492,4.91275823213534
51,702539.0,9323600.0,5.662514156285391,3.8491971802304037,4.900982705465461
52,702589.0,9323590.0,5.662514156285391,3.843270858807114,4.895418309229711
53,702638.0,9323590.0,5.662514156285391,3.8254168214716224,4.872903586805151
54,702688.0,9323580.0,5.662514156285391,3.8187343073027353,4.860068910509598
55,702738.0,9323570.0,5.662514156285391,3.8388259175199817,4.858021865375003
56,702787.0,9323570.0,5.662514156285391,3.8504595018803736,4.874476629984826
57,702837.0,9323560.0,5.662514156285391,3.9372604830661206,4.93946373088895
58,702886.0,9323550.0,5.662514156285391,3.938587269209691,4.902456836779915
59,703349.0,9323270.0,1.0,1.1731732145786542,1.2788495749646518
60,703318.0,9323230.0,1.0,1.1511700193398127,1.2366371168781276
61,703281.0,9323200.0,1.0,1.1765113562792249,1.2882452627008574
62,703244.0,9323160.0,1.0,1.2285629577787536,1.3546544623931027
63,703209.0,9323130.0,1.0,1.2421947859482627,1.3641800838754914
64,703173.0,9323090.0,1.0,1.251859224577242,1.3652933552050552
65,703152.0,9323050.0,1.0,1.2551693341974313,1.3560328395534957
