loc_id,XP,YP,Tp_s,Tm2_0_TM02_s,Tm_1_0_TMM10_s
1,702900.0,9323630.0,4.940711462450593,2.9411684079442573,3.9117586942319176
2,702900.0,9323680.0,4.940711462450593,2.9861485206824043,3.9453971754008768
3,702900.0,9323730.0,4.940711462450593,3.0411113453864775,3.9857736640712473
4,702900.0,9323780.0,4.940711462450593,3.106430031460225,4.030245657856268
5,702900.0,9323830.0,4.940711462450593,3.1828867617504315,4.076366009226032
6,702900.0,9323880.0,4.940711462450593,3.2677041798466435,4.120220050406499
7,702900.0,9323930.0,4.940711462450593,3.3493621449851,4.153115985447017
8,702900.0,9323980.0,4.940711462450593,3.3982348814690857,4.157590852637881
9,702900.0,9324030.0,4.940711462450593,3.3724501080953,4.114082556761883
10,702923.0,9324070.0,4.940711462450593,3.325916580361429,4.075233622857543
11,702962.0,9324100.0,4.940711462450593,3.3083161695683962,4.0633077577443
12,703012.0,9324100.0,4.940711462450593,3.2929793612423093,4.048609841083538
13,703062.0,9324110.0,4.940711462450593,3.2802753467315213,4.036378865432567
14,703112.0,9324110.0,4.940711462450593,3.26898362411507,4.023189087676862
15,703161.0,9324120.0,4.940711462450593,3.2491445689398915,4.001267633745975
16,703211.0,9324120.0,4.940711462450593,3.242642434058842,3.990842706395708
17,703261.0,9324130.0,4.940711462450593,3.24898080090942,3.9971845713281904
18,703311.0,9324130.0,4.940711462450593,3.2593744984867636,4.006377750384534
19,703360.0,9324140.0,4.940711462450593,3.2649895330171175,4.013137127360378
20,703400.0,9324110.0,4.940711462450593,3.2856528309765523,4.027588762589903
21,703419.0,9324060.0,4.940711462450593,3.3388221078203024,4.069518105902964
22,703427.0,9324010.0,4.940711462450593,3.3926909814439363,4.10992723989921
23,703436.0,9323960.0,4.940711462450593,3.443066651483841,4.152947004902487
24,703444.0,9323920.0,4.940711462450593,3.4848555191687134,4.195299502998401
25,703453.0,9323870.0,4.940711462450593,3.519100732135649,4.235542167807693
26,703461.0,9323820.0,4.940711462450593,3.532430998388027,4.264720638730523
27,703470.0,9323770.0,4.940711462450593,3.530500190761315,4.287838538837918
28,703478.0,9323720.0,4.940711462450593,3.4971738163025274,4.2876363903529535
29,703487.0,9323670.0,4.940711462450593,3.456614871117395,4.286479542579118
30,703495.0,9323620.0,4.940711462450593,3.4151793829596673,4.289876696291452
31,703504.0,9323570.0,4.940711462450593,3.365272380576888,4.291265595769725
32,703512.0,9323520.0,4.940711462450593,3.3222850787425298,4.302342183440219
33,703521.0,9323470.0,4.940711462450593,3.2734786141617302,4.3080954350206575
34,703525.0,9323420.0,4.940711462450593,3.1985610735800805,4.286524293591534
35,703505.0,9323380.0,4.940711462450593,3.0610076425088883,4.202593313258072
36,703465.0,9323350.0,4.940711462450593,2.176322624286075,3.468984643088202
37,703426.0,9323320.0,4.940711462450593,1.5299686802740007,2.1128039387011754
38,702416.0,9323140.0,4.940711462450593,3.465739692554778,4.348466793984162
39,702386.0,9323170.0,4.940711462450593,3.360528681288027,4.304257090880031
40,702380.0,9323220.0,4.940711462450593,3.3973221476264666,4.31177684919861
41,702374.0,9323270.0,4.940711462450593,3.420959448474216,4.308444738068837
42,702368.0,9323320.0,4.940711462450593,3.4943262631359806,4.333567134638086
43,702362.0,9323370.0,4.940711462450593,3.5911028261134015,4.370946899356902
44,702356.0,9323420.0,4.940711462450593,3.6427895646377437,4.374538832904505
45,702371.0,9323470.0,4.940711462450593,3.5546618504516423,4.315918336776922
46,702362.0,9323520.0,4.940711462450593,3.5643649917833824,4.297850982465333
47,702362.0,9323570.0,4.940711462450593,3.5065409352773984,4.2538465935401
48,702397.0,9323600.0,4.940711462450593,3.460787247634009,4.2127006848739095
49,702440.0,9323610.0,4.940711462450593,3.4486531164109997,4.20051617729636
50,702490.0,9323610.0,4.940711462450593,3.457096216200193,4.20806964893054
51,702539.0,9323600.0,4.940711462450593,3.455638536640078,4.209238361484675
52,702589.0,9323590.0,4.940711462450593,3.456065774928555,4.217074286732529
53,702638.0,9323590.0,4.940711462450593,3.4354146361343494,4.207190945011106
54,702688.0,9323580.0,4.940711462450593,3.4105300931641382,4.205311059846668
55,702738.0,9323570.0,4.940711462450593,3.3443605145560276,4.173614660390016
56,702787.0,9323570.0,4.940711462450593,3.273734886060156,4.158531426651769
57,702837.0,9323560.0,4.940711462450593,3.1804354568793385,4.139307284516702
58,702886.0,9323550.0,4.940711462450593,2.98370520805995,3.9721055914236345
59,703349.0,9323270.0,1.659475605708596,1.37967718352943,1.4559447984364533
60,703318.0,9323230.0,1.6920473773265652,1.4021691054595724,1.4775788471339963
61,703281.0,9323200.0,1.5961691939345573,1.414144370772154,1.4887756211475254
62,703244.0,9323160.0,1.6273393002441008,1.413955480359924,1.490177507423661
63,703209.0,9323130.0,1.6920473773265652,1.4254561865170758,1.5059751235512204
64,703173.0,9323090.0,1.7593244194229416,1.4596931448611739,1.545209268400036
65,703152.0,9323050.0,1.659475605708596,1.4464624420273229,1.5270693015014718
