loc_id,XP,YP,Tp_s,Tm2_0_TM02_s,Tm_1_0_TMM10_s
1,702900.0,9323630.0,7.581501137225171,4.9788202812905284,6.36529774428242
2,702900.0,9323680.0,7.581501137225171,4.963072398710358,6.351055010359536
3,702900.0,9323730.0,7.581501137225171,4.961654818121235,6.345964627993397
4,702900.0,9323780.0,7.581501137225171,4.966805259324771,6.345332789725044
5,702900.0,9323830.0,7.581501137225171,4.973576092663845,6.345838974002635
6,702900.0,9323880.0,7.581501137225171,4.9789065201857605,6.345538425596392
7,702900.0,9323930.0,7.581501137225171,4.974748226179405,6.339603393342476
8,702900.0,9323980.0,7.581501137225171,4.949565428937727,6.321403117110942
9,702900.0,9324030.0,7.581501137225171,4.8955257760725335,6.291951415744884
10,702923.0,9324070.0,7.581501137225171,4.8562898859373025,6.272787674019183
11,702962.0,9324100.0,7.581501137225171,4.847816102032352,6.266508250801136
12,703012.0,9324100.0,7.581501137225171,4.849179138758326,6.268656292687777
13,703062.0,9324110.0,7.581501137225171,4.84616931670344,6.268110590672897
14,703112.0,9324110.0,7.581501137225171,4.84707828700489,6.268104859351219
15,703161.0,9324120.0,7.581501137225171,4.85424256308037,6.276005601858186
16,703211.0,9324120.0,7.581501137225171,4.874700778399371,6.292693868660815
17,703261.0,9324130.0,7.581501137225171,4.883597827870356,6.300461955300742
18,703311.0,9324130.0,7.581501137225171,4.904313164543861,6.311221353113436
19,703360.0,9324140.0,7.581501137225171,4.919910650623874,6.324223976253856
20,703400.0,9324110.0,7.581501137225171,4.920595545662679,6.3161236476854805
21,703419.0,9324060.0,7.581501137225171,5.078947171900868,6.4085348174115335
22,703427.0,9324010.0,7.581501137225171,5.158534391038769,6.478752009952042
23,703436.0,9323960.0,7.733952049497293,5.2391285296363215,6.545073630490722
24,703444.0,9323920.0,7.733952049497293,5.319854378535171,6.608961372018813
25,703453.0,9323870.0,7.733952049497293,5.342694579170086,6.641089236646727
26,703461.0,9323820.0,7.886435331230284,5.377213236706738,6.677308446855546
27,703470.0,9323770.0,7.886435331230284,5.416945922429015,6.714618608023903
28,703478.0,9323720.0,7.886435331230284,5.384655782776388,6.718317581383415
29,703487.0,9323670.0,7.886435331230284,5.370207122717601,6.726819790877247
30,703495.0,9323620.0,7.886435331230284,5.373997173382814,6.744552732194098
31,703504.0,9323570.0,7.886435331230284,5.334792229955674,6.743608417697063
32,703512.0,9323520.0,7.886435331230284,5.323613900977142,6.75588373274916
33,703521.0,9323470.0,7.886435331230284,5.325702583883531,6.770012304227377
34,703525.0,9323420.0,7.886435331230284,5.303187599763782,6.774422921842597
35,703505.0,9323380.0,7.886435331230284,5.151177116497251,6.725418257572541
36,703465.0,9323350.0,7.886435331230284,3.6631971216621024,6.024131557677997
37,703426.0,9323320.0,7.886435331230284,2.253470048487912,4.37585875073296
38,702416.0,9323140.0,7.581501137225171,4.645439019937436,6.542509315647885
39,702386.0,9323170.0,7.581501137225171,4.686798968754282,6.581439031658475
40,702380.0,9323220.0,7.581501137225171,4.8119216187169735,6.587161232958138
41,702374.0,9323270.0,7.581501137225171,4.903865019522591,6.566048280770474
42,702368.0,9323320.0,7.581501137225171,5.070246463335603,6.599856308833839
43,702362.0,9323370.0,7.581501137225171,5.276521511839406,6.663277622905173
44,702356.0,9323420.0,7.581501137225171,5.417428547764304,6.68937746786794
45,702371.0,9323470.0,7.581501137225171,5.5383751247844835,6.703218428097063
46,702362.0,9323520.0,7.581501137225171,5.623152287155858,6.698047682428809
47,702362.0,9323570.0,7.581501137225171,5.520390540032009,6.641240271780722
48,702397.0,9323600.0,7.581501137225171,5.226095894315214,6.52103972263893
49,702440.0,9323610.0,7.581501137225171,5.199327857590904,6.504258490013599
50,702490.0,9323610.0,7.581501137225171,5.16815770576001,6.482860098706997
51,702539.0,9323600.0,7.581501137225171,5.127360899869818,6.465152967071216
52,702589.0,9323590.0,7.581501137225171,5.099663344092992,6.459189060960678
53,702638.0,9323590.0,7.581501137225171,5.050873526077666,6.428953675593447
54,702688.0,9323580.0,7.581501137225171,5.039470933579625,6.425526622395867
55,702738.0,9323570.0,7.581501137225171,5.027445353168567,6.411179748009423
56,702787.0,9323570.0,7.581501137225171,5.070626149617474,6.452136914827791
57,702837.0,9323560.0,7.581501137225171,5.222112320458624,6.536209165636812
58,702886.0,9323550.0,7.581501137225171,5.141623383362344,6.464663649006204
59,703349.0,9323270.0,1.0196798205363515,1.3564950658985275,1.5780470307086183
60,703318.0,9323230.0,1.0602205258693809,1.3051364034671888,1.4363452996724213
61,703281.0,9323200.0,1.081081081081081,1.2848753133180024,1.389670938297809
62,703244.0,9323160.0,1.1022927689594355,1.2692749327347073,1.358215679994265
63,703209.0,9323130.0,1.1239743733842869,1.262151602033991,1.3434519716185278
64,703173.0,9323090.0,1.146131805157593,1.2608386304008907,1.3365976640581594
65,703152.0,9323050.0,1.1686338670094658,1.2616312756003518,1.3326070212792855
