loc_id,XP,YP,Tp_s,Tm2_0_TM02_s,Tm_1_0_TMM10_s
1,702415.75,9323137.0,6.119951040391677,3.9317757271492795,5.083402447167707
2,702386.1875,9323175.0,6.119951040391677,3.877674222046849,5.076686959674602
3,702380.0625,9323225.0,6.119951040391677,3.865133700516341,5.045527599395803
4,702373.875,9323274.0,6.119951040391677,3.8095535557872067,4.98814695264105
5,702367.6875,9323324.0,6.119951040391677,3.8273986711314345,4.98383601587776
6,702361.5,9323373.0,6.119951040391677,3.88612283132697,5.011847668989505
7,702355.875,9323423.0,6.119951040391677,3.9040742897109006,5.00273945232213
8,702370.5,9323470.0,6.119951040391677,3.8650056263558654,4.96616746861949
9,702362.1875,9323519.0,6.119951040391677,3.795768320073896,4.912821975505946
10,702362.0625,9323566.0,6.119951040391677,3.687374052703815,4.843403171918736
11,702396.75,9323602.0,6.119951040391677,3.557904561334978,4.724592744580595
12,702440.125,9323614.0,6.119951040391677,3.5516129910969756,4.711748890461301
13,702489.6875,9323607.0,6.119951040391677,3.53811774408767,4.693593464754258
14,702539.25,9323600.0,6.119951040391677,3.52230620784446,4.675767634863465
15,702588.8125,9323594.0,6.119951040391677,3.5131438462978117,4.666449681928393
16,702638.375,9323587.0,6.119951040391677,3.488180367235901,4.634556387979252
17,702688.0,9323581.0,6.119951040391677,3.4792630442027295,4.62026056722521
18,702737.5625,9323574.0,6.119951040391677,3.473191986651462,4.608608950072836
19,702787.125,9323568.0,6.119951040391677,3.5022756226960023,4.650839075350927
20,702836.6875,9323561.0,6.119951040391677,3.569994678989372,4.730317250618281
21,702886.25,9323555.0,6.119951040391677,3.5738351656091054,4.7284813127856
22,702935.75,9323548.0,6.119951040391677,3.5820462410411,4.7331653665338225
23,702985.3125,9323541.0,6.119951040391677,3.5992982752905704,4.753591458950184
24,703034.875,9323535.0,6.119951040391677,3.5702321231486955,4.716816333505365
25,703084.4375,9323528.0,6.119951040391677,3.5761425181138127,4.724214051179175
26,703134.0,9323521.0,6.119951040391677,3.6240605371803127,4.776672709456539
27,703183.5625,9323515.0,6.119951040391677,3.671392281024767,4.825378094903454
28,703233.125,9323508.0,6.119951040391677,3.733784266728272,4.884399090796089
29,703279.5625,9323491.0,6.119951040391677,3.7374707844368804,4.893203938746788
30,703316.75,9323459.0,6.119951040391677,3.744883151563337,4.90114389211979
31,703340.125,9323415.0,6.119951040391677,3.7449459274421777,4.899826465184041
32,703355.0625,9323367.0,6.119951040391677,3.7597175847800934,4.922343973918804
33,703362.375,9323318.0,6.119951040391677,3.796361641653895,4.9693742430159995
34,703349.0625,9323270.0,6.242197253433208,3.758921989589297,4.981783303866159
35,703317.875,9323232.0,6.242197253433208,3.5278993132457064,4.893342288246191
36,703280.9375,9323198.0,6.242197253433208,3.1051729775857186,4.707882948662525
37,703244.0625,9323164.0,6.242197253433208,2.651898766653861,4.419836850150089
38,703208.5625,9323129.0,6.242197253433208,2.437721310713251,4.270372642706672
39,703173.0,9323094.0,6.242197253433208,2.234804218108772,4.075373292839897
40,703151.875,9323053.0,6.242197253433208,2.0835818982949115,3.937646622897485
