loc_id,XP,YP,Tp_s,Tm2_0_TM02_s,Tm_1_0_TMM10_s
1,702415.75,9323137.0,4.310344827586206,3.203561238236509,3.9361754314845143
2,702386.1875,9323175.0,4.22654268808115,3.0771979269938123,3.8719816539147667
3,702380.0625,9323225.0,4.22654268808115,3.092127821862816,3.864415846732737
4,702373.875,9323274.0,4.22654268808115,3.098908815000889,3.850535460249505
5,702367.6875,9323324.0,4.22654268808115,3.153461675403911,3.8600239630152315
6,702361.5,9323373.0,4.22654268808115,3.222215126460743,3.881312178134953
7,702355.875,9323423.0,4.22654268808115,3.256762839317941,3.8754598515179
8,702370.5,9323470.0,4.22654268808115,3.2082717220847847,3.8466417602630685
9,702362.1875,9323519.0,4.22654268808115,3.1893017712477136,3.797329574684127
10,702362.0625,9323566.0,4.22654268808115,3.1019176179205865,3.723704859415534
11,702396.75,9323602.0,4.22654268808115,3.0243883995733842,3.654604188280463
12,702440.125,9323614.0,4.22654268808115,3.01384899158233,3.6451137192496095
13,702489.6875,9323607.0,4.22654268808115,3.009343909390258,3.6401130958700305
14,702539.25,9323600.0,4.22654268808115,2.998610003720998,3.630089772231545
15,702588.8125,9323594.0,4.22654268808115,2.9923725093817413,3.6243027835324497
16,702638.375,9323587.0,4.22654268808115,2.977195624326792,3.6081499141601605
17,702688.0,9323581.0,4.22654268808115,2.9735274403004253,3.602842315086349
18,702737.5625,9323574.0,4.22654268808115,2.962973417354236,3.593308104537115
19,702787.125,9323568.0,4.22654268808115,2.9770448699484815,3.611861158232916
20,702836.6875,9323561.0,4.22654268808115,2.9996166021599597,3.6436463331221907
21,702886.25,9323555.0,4.22654268808115,3.003044480457696,3.6494883957539135
22,702935.75,9323548.0,4.22654268808115,3.018266461989021,3.6641142091182366
23,702985.3125,9323541.0,4.22654268808115,3.024568159129689,3.6761300630526477
24,703034.875,9323535.0,4.22654268808115,3.0099500698966732,3.664496559345461
25,703084.4375,9323528.0,4.22654268808115,3.014415640003251,3.6737947797211867
26,703134.0,9323521.0,4.22654268808115,3.0308559527945493,3.6985659351174185
27,703183.5625,9323515.0,4.22654268808115,3.035378814826328,3.7159081716505704
28,703233.125,9323508.0,4.22654268808115,3.048225477426566,3.742078229588156
29,703279.5625,9323491.0,4.22654268808115,3.010646761163489,3.7342428930038754
30,703316.75,9323459.0,4.22654268808115,2.959053755492047,3.7207357918845454
31,703340.125,9323415.0,4.22654268808115,2.8999279897014802,3.6931151253477155
32,703355.0625,9323367.0,4.22654268808115,2.86725905625601,3.678780501895487
33,703362.375,9323318.0,4.22654268808115,2.8701736641171682,3.6884249280311696
34,703349.0625,9323270.0,4.22654268808115,2.834220971838926,3.656188623405607
35,703317.875,9323232.0,4.22654268808115,2.7526131301142778,3.5605648135317307
36,703280.9375,9323198.0,4.22654268808115,2.2408307767759483,3.161819257830531
37,703244.0625,9323164.0,4.22654268808115,1.9055861356182793,2.715010671884802
38,703208.5625,9323129.0,4.22654268808115,1.7132823742933951,2.3949826132736995
39,703173.0,9323094.0,4.22654268808115,1.5472664554952236,2.0763891930638705
40,703151.875,9323053.0,4.22654268808115,1.4770390471081778,1.9422504960057725
