loc_id,XP,YP,Tp_s,Tm2_0_TM02_s,Tm_1_0_TMM10_s
1,702415.75,9323137.0,6.365372374283896,4.120086055610281,5.28853556410204
2,702386.1875,9323175.0,6.365372374283896,4.0657582048249035,5.285085611884007
3,702380.0625,9323225.0,6.365372374283896,4.0626121174164656,5.257825811920663
4,702373.875,9323274.0,6.365372374283896,4.01140669420334,5.20332862374273
5,702367.6875,9323324.0,6.365372374283896,4.043348396114673,5.204546823745533
6,702361.5,9323373.0,6.365372374283896,4.117564634839649,5.235867464457764
7,702355.875,9323423.0,6.365372374283896,4.145939803575248,5.229947925269642
8,702370.5,9323470.0,6.365372374283896,4.113365044398071,5.193068686053778
9,702362.1875,9323519.0,6.365372374283896,4.059603224743997,5.145352164428442
10,702362.0625,9323566.0,6.365372374283896,3.9445475865970443,5.072579497752103
11,702396.75,9323602.0,6.365372374283896,3.786915113115816,4.9453583209428595
12,702440.125,9323614.0,6.365372374283896,3.7749197320545553,4.9296729311507095
13,702489.6875,9323607.0,6.365372374283896,3.761035441814005,4.91256229183285
14,702539.25,9323600.0,6.365372374283896,3.7444622191226644,4.895685357755861
15,702588.8125,9323594.0,6.365372374283896,3.7354354608037568,4.887307071270982
16,702638.375,9323587.0,6.365372374283896,3.7081779844536653,4.855822988286507
17,702688.0,9323581.0,6.365372374283896,3.697624199603986,4.8417814601194715
18,702737.5625,9323574.0,6.365372374283896,3.688757205327848,4.828370989644648
19,702787.125,9323568.0,6.365372374283896,3.7206401115473478,4.870533689415482
20,702836.6875,9323561.0,6.365372374283896,3.790852457343882,4.946377626828148
21,702886.25,9323555.0,6.365372374283896,3.793266215219764,4.942867197573991
22,702935.75,9323548.0,6.365372374283896,3.8022090955462415,4.947516828462453
23,702985.3125,9323541.0,6.365372374283896,3.820038073716147,4.968239777394832
24,703034.875,9323535.0,6.365372374283896,3.787611947797269,4.931225780688746
25,703084.4375,9323528.0,6.365372374283896,3.794122660044337,4.939712898407821
26,703134.0,9323521.0,6.365372374283896,3.8433444705498667,4.991001401167182
27,703183.5625,9323515.0,6.365372374283896,3.889916607708052,5.038090760665246
28,703233.125,9323508.0,6.365372374283896,3.9512511178780136,5.094623069621581
29,703279.5625,9323491.0,6.365372374283896,3.9519493230141785,5.103103637150481
30,703316.75,9323459.0,6.365372374283896,3.9547743588505986,5.111288856663854
31,703340.125,9323415.0,6.365372374283896,3.9467010587053677,5.112218476575013
32,703355.0625,9323367.0,6.365372374283896,3.959828525874768,5.136489034268958
33,703362.375,9323318.0,6.365372374283896,3.998270186341449,5.184695736725281
34,703349.0625,9323270.0,6.365372374283896,3.9595109563107194,5.202403356548271
35,703317.875,9323232.0,6.365372374283896,3.696602398566927,5.104418107222859
36,703280.9375,9323198.0,6.365372374283896,3.2271237947207716,4.897132715669828
37,703244.0625,9323164.0,6.365372374283896,2.7319868592341927,4.57981537607544
38,703208.5625,9323129.0,6.365372374283896,2.4851180940555304,4.396515860795969
39,703173.0,9323094.0,6.365372374283896,2.2224239227990443,4.138063103899488
40,703151.875,9323053.0,6.365372374283896,1.9932294835790791,3.8950925063141897
