loc_id,XP,YP,Tp_s,Tm2_0_TM02_s,Tm_1_0_TMM10_s
1,702415.75,9323137.0,5.037783375314861,4.020972147432812,5.412555631388433
2,702386.1875,9323175.0,5.037783375314861,3.913273175124348,5.370682539509341
3,702380.0625,9323225.0,5.037783375314861,3.8706237065044347,5.337629061479361
4,702373.875,9323274.0,5.037783375314861,3.7727133709957443,5.271092779389299
5,702367.6875,9323324.0,5.037783375314861,3.8447417016231347,5.304451829236217
6,702361.5,9323373.0,5.037783375314861,3.9679222951689006,5.357434589753283
7,702355.875,9323423.0,5.037783375314861,4.018657401263897,5.337007975555337
8,702370.5,9323470.0,5.037783375314861,3.968277963105887,5.287472251440464
9,702362.1875,9323519.0,5.037783375314861,3.954028350975387,5.20492447103536
10,702362.0625,9323566.0,5.037783375314861,3.798332389603933,5.0689413925637625
11,702396.75,9323602.0,5.037783375314861,3.6280125035242388,4.912086109876956
12,702440.125,9323614.0,5.037783375314861,3.593143885905513,4.871327816623855
13,702489.6875,9323607.0,5.037783375314861,3.587735817209257,4.872206927949212
14,702539.25,9323600.0,5.037783375314861,3.5530278094517396,4.831269788527666
15,702588.8125,9323594.0,5.037783375314861,3.523868742077165,4.7965673953926204
16,702638.375,9323587.0,5.037783375314861,3.4744297260099817,4.727906185058325
17,702688.0,9323581.0,5.037783375314861,3.443881604844553,4.682018861812724
18,702737.5625,9323574.0,4.940711462450593,3.395894446764105,4.606192856818941
19,702787.125,9323568.0,4.940711462450593,3.426751434234046,4.650950296338563
20,702836.6875,9323561.0,5.037783375314861,3.479131942863875,4.732277043992334
21,702886.25,9323555.0,5.037783375314861,3.4969778429439207,4.756820569612584
22,702935.75,9323548.0,5.037783375314861,3.5416101210482043,4.816959557971212
23,702985.3125,9323541.0,5.037783375314861,3.5510347561844386,4.8505344408302244
24,703034.875,9323535.0,5.037783375314861,3.528261795298958,4.825731839264408
25,703084.4375,9323528.0,5.037783375314861,3.5451600695625363,4.864125024442371
26,703134.0,9323521.0,5.037783375314861,3.568028787612292,4.916566201328766
27,703183.5625,9323515.0,4.940711462450593,3.555287359384074,4.933463600257034
28,703233.125,9323508.0,4.940711462450593,3.549095152894592,4.958997931935123
29,703279.5625,9323491.0,4.940711462450593,3.450918406595631,4.901751696134845
30,703316.75,9323459.0,4.940711462450593,3.3255637087084957,4.803652783848111
31,703340.125,9323415.0,4.940711462450593,3.228403687829758,4.713288174919924
32,703355.0625,9323367.0,4.940711462450593,3.2340719083345792,4.735985487579957
33,703362.375,9323318.0,4.940711462450593,3.271635465299526,4.796688478079964
34,703349.0625,9323270.0,4.940711462450593,3.2345743278814987,4.762621906918364
35,703317.875,9323232.0,4.940711462450593,3.201792754333464,4.722908416783126
36,703280.9375,9323198.0,4.940711462450593,2.4903728900002964,4.030405465109538
37,703244.0625,9323164.0,4.940711462450593,2.0342120191811044,3.2460960241594523
38,703208.5625,9323129.0,2.449779519843214,1.7984986233040414,2.7981155727972356
39,703173.0,9323094.0,2.2665457842248413,1.6680956379826108,2.474536776130388
40,703151.875,9323053.0,2.0964360587002098,1.6116349477249379,2.3939093722671156
