loc_id,XP,YP,Tp_s,Tm2_0_TM02_s,Tm_1_0_TMM10_s
1,702415.75,9323137.0,6.489292667099287,4.350553836755656,5.426538705054542
2,702386.1875,9323175.0,6.489292667099287,4.480660829639542,5.495039081284042
3,702380.0625,9323225.0,6.489292667099287,4.336371726572091,5.367926392829528
4,702373.875,9323274.0,6.489292667099287,4.035437495222973,5.139468603446628
5,702367.6875,9323324.0,6.489292667099287,3.9781392065625374,5.0921551409182335
6,702361.5,9323373.0,6.489292667099287,3.9996080905139637,5.1244751696140804
7,702355.875,9323423.0,6.489292667099287,4.0464794044037165,5.1402894160485655
8,702370.5,9323470.0,6.489292667099287,4.039106609002165,5.077173294933803
9,702362.1875,9323519.0,6.489292667099287,3.962519423168591,5.014698285513501
10,702362.0625,9323566.0,6.365372374283896,3.8361872255975826,4.932047009731451
11,702396.75,9323602.0,6.365372374283896,3.6160293729720325,4.7359811887010315
12,702440.125,9323614.0,6.365372374283896,3.601228688658276,4.722058316601812
13,702489.6875,9323607.0,6.242197253433208,3.588168631424364,4.69557497343023
14,702539.25,9323600.0,6.242197253433208,3.5742601589493264,4.6807851477192335
15,702588.8125,9323594.0,6.242197253433208,3.5536987039076635,4.655758197849333
16,702638.375,9323587.0,6.242197253433208,3.5378853562257153,4.631826991610686
17,702688.0,9323581.0,6.242197253433208,3.5110055904156585,4.596494894879711
18,702737.5625,9323574.0,6.242197253433208,3.5225051604113133,4.601406153052354
19,702787.125,9323568.0,6.242197253433208,3.526233551925101,4.6118056242894685
20,702836.6875,9323561.0,6.242197253433208,3.595012615218531,4.692896372699528
21,702886.25,9323555.0,6.242197253433208,3.613258572352599,4.701891046534381
22,702935.75,9323548.0,6.242197253433208,3.6000411209323167,4.685502456442728
23,702985.3125,9323541.0,6.242197253433208,3.5723633054556183,4.656120414844266
24,703034.875,9323535.0,6.242197253433208,3.5546711782806253,4.636366592970179
25,703084.4375,9323528.0,6.242197253433208,3.5230019508369708,4.604763412594071
26,703134.0,9323521.0,6.242197253433208,3.522412254870436,4.613884109101483
27,703183.5625,9323515.0,6.242197253433208,3.5527682651259824,4.659011300991795
28,703233.125,9323508.0,6.242197253433208,3.621411616244072,4.733633894278812
29,703279.5625,9323491.0,6.365372374283896,3.6873609920152632,4.791136879666741
30,703316.75,9323459.0,6.489292667099287,3.8146055816986997,4.908352235103134
31,703340.125,9323415.0,6.489292667099287,3.9447487085487087,5.0444259269421075
32,703355.0625,9323367.0,6.489292667099287,3.9745638819586513,5.152243265594507
33,703362.375,9323318.0,6.618133686300463,3.97463516919674,5.265591857243705
34,703349.0625,9323270.0,6.618133686300463,3.885399345315314,5.381353715750318
35,703317.875,9323232.0,7.434944237918216,3.7112428494262115,5.505166668790748
36,703280.9375,9323198.0,6.747638326585695,1.9168198325839123,4.25695102775682
37,703244.0625,9323164.0,6.87757909215956,1.6235926161515055,3.741997603327914
38,703208.5625,9323129.0,6.87757909215956,2.1696018910775186,4.775919571556295
39,703173.0,9323094.0,6.87757909215956,3.0210369103667625,5.37179167280581
40,703151.875,9323053.0,6.87757909215956,3.2758780465138457,5.522861104267899
