loc_id,XP,YP,Tp_s,Tm2_0_TM02_s,Tm_1_0_TMM10_s
1,702415.75,9323137.0,7.153075822603719,4.316334046040121,6.035322008503357
2,702386.1875,9323175.0,7.153075822603719,4.498170378574644,6.116378079677838
3,702380.0625,9323225.0,7.153075822603719,4.575569357362547,6.09215464257486
4,702373.875,9323274.0,7.153075822603719,4.566819839212928,6.0185640793606865
5,702367.6875,9323324.0,7.153075822603719,4.66737402548233,6.043300972150652
6,702361.5,9323373.0,7.293946024799417,4.811691216376232,6.107257242080107
7,702355.875,9323423.0,7.293946024799417,4.927229764070232,6.138683138279043
8,702370.5,9323470.0,7.153075822603719,5.035680794106734,6.1492822877005064
9,702362.1875,9323519.0,7.153075822603719,5.114613228793411,6.155469478187183
10,702362.0625,9323566.0,7.153075822603719,5.047199199295864,6.106337545656297
11,702396.75,9323602.0,7.153075822603719,4.686835161708287,5.933001813768702
12,702440.125,9323614.0,7.153075822603719,4.6542411596874915,5.912985474538191
13,702489.6875,9323607.0,7.153075822603719,4.621312750266592,5.8907164839597925
14,702539.25,9323600.0,7.153075822603719,4.566479873881119,5.85832210793094
15,702588.8125,9323594.0,7.153075822603719,4.531946042576796,5.838308500854961
16,702638.375,9323587.0,7.153075822603719,4.497158573601067,5.804259071504141
17,702688.0,9323581.0,7.153075822603719,4.496726158872661,5.80008448332425
18,702737.5625,9323574.0,7.153075822603719,4.510500790699745,5.79711110237319
19,702787.125,9323568.0,7.153075822603719,4.564035387045159,5.845644614373008
20,702836.6875,9323561.0,7.153075822603719,4.71698525429218,5.947055769742509
21,702886.25,9323555.0,7.153075822603719,4.741666935592015,5.951679184214425
22,702935.75,9323548.0,7.153075822603719,4.739458852377051,5.952438494894715
23,702985.3125,9323541.0,7.153075822603719,4.735827016229108,5.966930026188889
24,703034.875,9323535.0,7.153075822603719,4.640930985475088,5.901597722260821
25,703084.4375,9323528.0,7.153075822603719,4.637630548465145,5.906069513304537
26,703134.0,9323521.0,7.153075822603719,4.68173029813767,5.948319280117815
27,703183.5625,9323515.0,7.153075822603719,4.730108919534197,5.987872130490312
28,703233.125,9323508.0,7.153075822603719,4.805899707400089,6.040596347430413
29,703279.5625,9323491.0,7.153075822603719,4.821875991104633,6.049005025104339
30,703316.75,9323459.0,7.153075822603719,4.862947601086997,6.062149427803892
31,703340.125,9323415.0,7.153075822603719,4.866627116686063,6.071703612680801
32,703355.0625,9323367.0,7.153075822603719,4.903597881534157,6.11969656899632
33,703362.375,9323318.0,7.153075822603719,4.9606024401120665,6.19097763906589
34,703349.0625,9323270.0,7.293946024799417,4.896383601846145,6.251549436734288
35,703317.875,9323232.0,7.581501137225171,4.311248325044157,6.135879541777207
36,703280.9375,9323198.0,7.434944237918216,3.7376952693716237,5.975019207855777
37,703244.0625,9323164.0,7.581501137225171,3.3976553843234196,5.839445235055665
38,703208.5625,9323129.0,7.581501137225171,3.213013556316633,5.796763891710241
39,703173.0,9323094.0,7.581501137225171,3.0515507731630165,5.738516064390077
40,703151.875,9323053.0,7.581501137225171,2.6680431953440107,5.554179610791428
